"submitter","MSE","theoreticalPoints"
"2469",10.7477936857275,5
"YI",14.2417741739464,3.77333383975055
"ttt",14.3041255616011,3.75688595553841
"142857",14.3350667985271,3.74877698052715
"1234",14.4202130826292,3.726641771568
"Lu",14.7815309685703,3.63554820829463
"Kobe24",14.8517480375881,3.61835982489267
"Chris7",15.1251545254247,3.55295334922394
"Raj",15.2175974001074,3.53137009842683
"ChingManHazel",15.7960057020592,3.40206058685024
"Zhisheng",15.7960057020592,3.40206058685024
"250",16.5117131019421,3.25459678816225
"882015",16.9456924553838,3.17124653183258
"YK",17.7586032740489,3.02608080147651
"Weijun",17.8881006120204,3.00417409283386
"519",18.1182231563186,2.96601758158036
"doudou",18.3918133299074,2.92189614284803
"Guoxin",18.3918133299074,2.92189614284803
"Lei",18.5530607107877,2.89650151348833
"330",18.5583261611169,2.89567970527591
"199208",18.6082675804786,2.88790819436696
"0513.txt",18.6740091252884,2.87774136063069
"2004",20.6897734230856,2.59736862892252
"13X10",20.9952999216021,2.55957136260507
"XXHXX",21.0382663654297,2.55434395093227
"Not",21.2209831095847,2.53235055846048
"Qin",24.0190614583234,2.23734672238889
"991",24.1229877939828,2.22770781495159
"asdjkl",24.5852354933442,2.18582280585377
"12081117",24.5852354933442,2.18582280585377
"12415",27.7153445988076,1.93896086108737
"Minsu",29.7982642199158,1.80342613355044
"Jingyi",29.7982642199158,1.80342613355044
"pancake",32.7890961736977,1.63892801875231
"bb",34.5171670972016,1.55687656166297
"Mengting",34.5171670972016,1.55687656166297
"Arky",34.5171670972016,1.55687656166297
"11235424242",36.2804560233574,1.48120983909464
"chainsmokers",39.6040478924625,1.35690595503156
"1229",39.8646525621438,1.34803553962662
"4716",40.1332817236644,1.33901256315529
"Yang",41.451651474766,1.29642526936113
"323",42.0659029995051,1.27749470703789
"2614",44.2333103037567,1.21489818554397
"Mamoru",46.2389725932778,1.16220074570709
"Benjamin",48.5250777006092,1.1074473442412
"Pt",1152.44971662162,0.0466302066403139
