"submitter","MSE","theoreticalPoints"
"ttt",6.59670478858384,5
"4716",6.59796524181409,4.99904481670935
"12081117",6.84241374549922,4.82045154966184
"YK",6.89140866190961,4.78618023702856
"42",6.89140866190961,4.78618023702856
"Chris7",6.89140866190961,4.78618023702856
"Sulwhasoo",6.9335599453513,4.75708354768511
"Arky",7.19570118592856,4.58378177340377
"0513.txt",7.29069528952706,4.52405739549963
"pancake",7.42328750462488,4.44325023412736
"Mamoru",7.56953528101583,4.35740408339742
"Minsu",7.80624491874325,4.22527403204117
"ChingManHazel",7.80624491874325,4.22527403204117
"882015",7.83269111673316,4.21100787090349
"asdjkl",7.91420519605376,4.16763567861062
"2004",7.97588733175754,4.13540494881226
"Jingyi",8.0271361304629,4.10900268873566
"199208",8.02713613498876,4.10900268641892
"doudou",8.06501560740772,4.08970367182226
"11235424242",8.06501560740772,4.08970367182226
"Lei",8.06501560740772,4.08970367182226
"Raj",8.07450296630306,4.08489836223577
"323",8.08929527904752,4.0774286022605
"Guoxin",8.08929527904752,4.0774286022605
"12415",8.24187366159444,4.001944860744
"1229",8.46526281372471,3.89633785373362
"2614",8.54781174162729,3.85870968382371
"Zhisheng",8.78023780072508,3.75656385299671
"990",8.81907358262591,3.74002140178291
"YI",9.22850918021322,3.57409016980109
"330",9.56211149599298,3.44939754747066
"250",10.2487785520531,3.21828828434502
"Benjamin",10.3586632632228,3.18414867872222
"WEIDONG",13.0243759173169,2.53244563519279
"2469",13.2806477576337,2.48357795077882
"142857",13.8547543966961,2.38066464395679
"110.txt",57.7614597356202,0.571029958278201
