"submitter","MSE","theoreticalPoints"
"Benjamin",65.515611457943,5
"Guoxin",77.3401670142913,4.23554887370729
"Sulwhasoo",77.4992547516803,4.22685428833253
"12415",79.1749084195406,4.13739736273402
"1229",81.6977120669013,4.00963563118469
"990",81.7717887718446,4.00600331984551
"Raj",82.0796351015161,3.99097847943119
"250",83.3398481162101,3.93062940111117
"Qin",84.412761900842,3.88066981713635
"2614",84.4450660992346,3.87918527892163
"YI",86.4660363248983,3.78851710119835
"2004",86.9690785751844,3.76660374763572
"ttt",87.4501696160594,3.74588246915828
"882015",88.7971314003147,3.68906125821711
"Lu",89.4640464297807,3.66156093271309
"ChingManHazel",89.6046359558941,3.65581594964526
"Calvin",89.6935313899865,3.65219266331938
"Arky",90.0096875769472,3.63936445185055
"Jingyi",90.0546370444202,3.63754791580732
"0513.txt",91.4266756154672,3.58295929590047
"330",92.5766993934802,3.53845038153072
"Mamoru",93.6082438222971,3.49945735454218
"doudou",95.6270103359662,3.42558087028796
"323",95.6270103359662,3.42558087028796
"11235424242",95.6270103359662,3.42558087028796
"42",95.6270103359662,3.42558087028796
"Lei",95.6270103359662,3.42558087028796
"12081117",95.6270103359662,3.42558087028796
"Weijun",95.6270103359662,3.42558087028796
"asdjkl",97.1941875100452,3.37034616659416
"199208",97.1941875100452,3.37034616659416
"pancake",97.4464344487232,3.36162178886174
"4716",116.141249126102,2.82051432849703
