"submitter","MSE","theoreticalPoints"
"250",4.92340252715477,5
"WEIDONG",4.97963150160196,4.94354102865935
"323",5.3908361904216,4.56645532645069
"0513.txt",5.42073274765431,4.54127030085117
"pancake",6.80717739077539,3.61633188362817
"990",6.84856020437945,3.59447999304029
"Mamoru",6.87596467873645,3.58015402724517
"4716",7.25920236467168,3.39114566575211
"2004",7.28079591066069,3.38108813072608
"Arky",7.32073803628539,3.36264083126034
"ChingManHazel",7.32768269762213,3.35945395721927
"12081117",7.34259885520974,3.35262937839884
"random323",7.38879434512088,3.33166840027554
"Guoxin",7.4267251763792,3.31465242770375
"doudou",7.47094420476765,3.29503366121571
"199208",7.86419904053659,3.13026317224217
"Calvin",7.93329452695359,3.10299996453389
"Lei",8.72549181213542,2.82127508291699
"12415",8.75859806876382,2.81061106383756
"11235424242",10.4449398981236,2.35683621695096
"asdjkl",10.5994388398147,2.32248263401502
"1229",10.6422392185968,2.31314219969391
"Sulwhasoo",10.6850090119427,2.30388318889197
"Raj",10.7270124833243,2.29486193607422
"Zhisheng",10.7270124833243,2.29486193607422
"2614",11.2202974622762,2.19397148057249
"YI",11.296565482781,2.17915902610372
"ttt",11.3585416166808,2.1672687803179
"142857",11.7393730629893,2.09696143939611
"330",13.177785965229,1.86806893819102
"Minsu",17.7542977421383,1.38653823391435
"Jingyi",17.7862550244651,1.38404698470324
"2469",19.7507941401619,1.24638090301983
